event_id,hour,src_country,bytes_out,request_rate,failed_logins,is_anomaly
E800000,15,IN,3249.23,25.83,1,0
E800001,7,IN,9704.19,22.25,1,0
E800002,4,BR,3101.25,25.69,0,0
E800003,7,DE,3275.89,42.04,0,0
E800004,20,SG,5047.0,35.02,3,0
E800005,19,IN,8516.57,24.82,1,0
E800006,15,IN,9860.03,17.48,0,0
E800007,22,IN,3029.31,35.18,0,0
E800008,9,IN,2447.96,15.49,1,0
E800009,1,IN,6608.91,83.6,0,0
E800010,3,US,3005.92,21.88,1,0
E800011,23,SG,4104.13,54.69,0,0
E800012,21,IN,3263.84,9.42,0,0
E800013,5,SG,4336.92,15.74,0,0
E800014,19,IN,4285.36,4.54,0,0
E800015,5,IN,5272.67,16.84,0,0
E800016,3,BR,10577.24,9.53,0,0
E800017,12,US,3646.94,13.1,0,0
E800018,21,GB,5485.35,70.52,0,0
E800019,5,IN,6117.86,7.83,0,0
E800020,10,RU,3718.86,14.09,0,0
E800021,23,IN,6971.92,52.41,0,0
E800022,1,IN,5902.4,65.63,0,0
E800023,20,IN,19592.33,58.51,12,1
E800024,2,RU,4583.7,6.03,0,0
E800025,23,IN,6525.32,19.13,0,0
E800026,6,US,6478.66,20.17,0,0
E800027,7,US,11249.66,5.19,0,0
E800028,0,US,6886.91,33.53,1,0
E800029,19,US,6688.69,18.1,1,0
E800030,8,DE,14333.45,3.91,1,0
E800031,6,RU,6591.3,13.2,0,0
E800032,9,RU,4783.86,32.33,1,0
E800033,5,IN,6547.51,9.22,0,0
E800034,7,DE,3320.54,14.32,0,0
E800035,23,IN,10224.22,9.43,1,0
E800036,6,IN,15986.19,39.58,16,1
E800037,7,SG,3016.05,29.46,0,0
E800038,11,DE,23751.82,78.07,16,1
E800039,17,GB,4627.44,48.04,2,0
E800040,17,IN,7791.46,19.52,0,0
E800041,12,IN,1963.35,7.44,0,0
E800042,3,IN,55837.98,128.62,22,1
E800043,4,GB,11040.09,4.36,0,0
E800044,22,US,7505.73,37.39,0,0
E800045,19,IN,3746.57,12.32,1,0
E800046,21,GB,9133.57,8.88,0,0
E800047,3,SG,2107.13,22.59,0,0
E800048,14,RU,2530.06,9.88,0,0
E800049,3,IN,4431.8,15.73,0,0
E800050,18,RU,12436.41,8.5,1,0
E800051,9,RU,5706.1,26.39,0,0
E800052,15,RU,12349.16,32.94,1,0
E800053,18,IN,6183.29,44.49,1,0
E800054,22,BR,4056.41,9.84,0,0
E800055,10,SG,5027.99,19.32,0,0
E800056,16,IN,63193.89,72.52,18,1
E800057,8,US,2557.67,10.03,0,0
E800058,2,SG,4835.13,20.84,1,0
E800059,4,IN,12228.64,23.09,0,0
E800060,13,IN,2603.56,11.85,0,0
E800061,22,IN,4124.68,38.8,1,0
E800062,21,US,3577.23,40.18,0,0
E800063,6,IN,6289.89,9.56,0,0
E800064,2,US,4552.84,85.67,1,0
E800065,23,IN,2115.66,62.85,1,0
E800066,9,RU,2783.36,44.91,0,0
E800067,21,DE,2685.58,37.06,0,0
E800068,2,RU,8290.94,16.07,1,0
E800069,7,IN,5997.3,33.43,0,0
E800070,12,IN,2612.59,123.07,0,0
E800071,12,US,2938.91,11.8,0,0
E800072,21,US,7488.62,17.88,1,0
E800073,5,DE,3793.6,24.48,0,0
E800074,6,US,6844.84,75.84,0,0
E800075,23,US,8811.67,47.08,1,0
E800076,0,SG,4259.63,7.42,0,0
E800077,17,US,6304.59,19.35,0,0
E800078,22,US,2907.05,12.41,0,0
E800079,0,GB,35171.53,81.89,15,1
E800080,4,IN,2547.69,23.3,0,0
E800081,5,US,37445.41,117.08,21,1
E800082,10,SG,3811.2,55.94,0,0
E800083,4,IN,3768.43,23.02,2,0
E800084,7,RU,4288.13,22.28,0,0
E800085,21,RU,3741.62,14.58,0,0
E800086,13,IN,5288.57,19.78,1,0
E800087,13,US,4323.72,6.21,2,0
E800088,1,IN,7212.09,88.45,0,0
E800089,4,US,2624.09,1.81,0,0
E800090,2,IN,1820.8,17.42,0,0
E800091,1,GB,6508.23,21.09,0,0
E800092,19,US,6662.14,31.36,0,0
E800093,5,IN,2827.24,15.4,1,0
E800094,8,IN,6818.09,4.71,1,0
E800095,6,IN,4266.4,23.75,0,0
E800096,4,IN,2407.36,53.66,0,0
E800097,2,IN,9525.95,65.62,0,0
E800098,19,US,15529.7,33.33,0,0
E800099,22,RU,4550.95,23.35,1,0
E800100,5,IN,22068.24,30.49,0,0
E800101,11,US,4434.2,4.89,0,0
E800102,0,IN,4449.37,30.22,1,0
E800103,20,SG,4000.55,18.68,0,0
E800104,2,IN,3143.66,7.49,1,0
E800105,18,IN,4957.69,19.54,1,0
E800106,2,IN,4879.77,14.8,0,0
E800107,1,IN,4752.24,1.69,0,0
E800108,15,US,7320.74,40.02,1,0
E800109,14,RU,21806.21,13.23,1,0
E800110,18,US,11476.11,11.1,1,0
E800111,20,SG,11138.41,9.0,2,0
E800112,18,IN,4272.73,30.56,0,0
E800113,7,US,5196.01,19.2,2,0
E800114,20,GB,4621.14,5.76,0,0
E800115,11,IN,3283.58,27.14,0,0
E800116,18,US,10344.5,47.64,0,0
E800117,0,IN,2056.98,19.8,2,0
E800118,7,IN,12605.04,10.31,0,0
E800119,10,IN,2227.49,64.84,0,0
E800120,6,IN,9504.58,15.53,0,0
E800121,13,US,18084.95,34.01,10,1
E800122,22,US,9567.96,29.0,0,0
E800123,17,IN,12393.46,11.61,0,0
